#Top: top   Floorplan: synth_1   Part: xcku040-ffva1156-2-i
#Generated by: DELL   on: Fri Aug  2 21:06:56 2024
#Build: Vivado v2017.4   by: xbuild   on: Fri Dec 15 20:55:39 MST 2017
#Package Version: FINAL 2014-05-08
#Package Pin Delay Version: VERS. 2.1 2013-09-19

################################################################################
#INVALID / INCOMPLETE PINOUT
#One or more ports below has an ERROR in its "Board Voltage" column.  Run DRCs for more info.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to LVTTL standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
65,K27,IOB_X1Y57,IO_L3N_T0L_N5_AD15N_A27_65,190.080,191.990,,,board2_adc2_data_n[8],IN,N,board2_adc2_data_p[8],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,K25,IOB_X1Y70,IO_L9N_T1L_N5_AD12N_A15_D31_65,174.005,175.754,,,board2_adc2_data_n[7],IN,N,board2_adc2_data_p[7],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,L27,IOB_X1Y66,IO_L7N_T1L_N1_QBC_AD13N_A19_65,174.438,176.191,,,board2_adc2_data_n[6],IN,N,board2_adc2_data_p[6],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,L24,IOB_X1Y68,IO_L8N_T1L_N3_AD5N_A17_65,189.082,190.983,,,board2_adc2_data_n[5],IN,N,board2_adc2_data_p[5],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,P23,IOB_X1Y89,IO_L18N_T2U_N11_AD2N_D13_65,211.172,213.294,,,board2_adc2_data_n[4],IN,N,board2_adc2_data_p[4],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,R26,IOB_X1Y87,IO_L17N_T2U_N9_AD10N_D15_65,191.533,193.457,,,board2_adc2_data_n[3],IN,N,board2_adc2_data_p[3],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,K23,IOB_X1Y72,IO_L10N_T1U_N7_QBC_AD4N_A13_D29_65,196.113,198.084,,,board2_adc2_data_n[2],IN,N,board2_adc2_data_p[2],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,R27,IOB_X1Y83,IO_L15N_T2L_N5_AD11N_A03_D19_65,192.853,194.791,,,board2_adc2_data_n[1],IN,N,board2_adc2_data_p[1],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,T25,IOB_X1Y85,IO_L16N_T2U_N7_QBC_AD3N_A01_D17_65,197.664,199.651,,,board2_adc2_data_n[0],IN,N,board2_adc2_data_p[0],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,G25,IOB_X1Y54,IO_L2P_T0L_N2_FOE_B_65,193.421,195.365,,,board2_adc2_data_p[11],IN,P,board2_adc2_data_n[11],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,H27,IOB_X1Y52,IO_L1P_T0L_N0_DBC_RS0_65,190.038,191.948,,,board2_adc2_data_p[10],IN,P,board2_adc2_data_n[10],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,J26,IOB_X1Y60,IO_L5P_T0U_N8_AD14P_A22_65,182.586,184.421,,,board2_adc2_data_p[9],IN,P,board2_adc2_data_n[9],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,K26,IOB_X1Y56,IO_L3P_T0L_N4_AD15P_A26_65,188.487,190.381,,,board2_adc2_data_p[8],IN,P,board2_adc2_data_n[8],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,L25,IOB_X1Y69,IO_L9P_T1L_N4_AD12P_A14_D30_65,174.367,176.120,,,board2_adc2_data_p[7],IN,P,board2_adc2_data_n[7],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,M27,IOB_X1Y65,IO_L7P_T1L_N0_QBC_AD13P_A18_65,178.130,179.920,,,board2_adc2_data_p[6],IN,P,board2_adc2_data_n[6],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,L23,IOB_X1Y67,IO_L8P_T1L_N2_AD5P_A16_65,189.856,191.764,,,board2_adc2_data_p[5],IN,P,board2_adc2_data_n[5],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,R23,IOB_X1Y88,IO_L18P_T2U_N10_AD2P_D12_65,218.618,220.815,,,board2_adc2_data_p[4],IN,P,board2_adc2_data_n[4],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,R25,IOB_X1Y86,IO_L17P_T2U_N8_AD10P_D14_65,191.921,193.850,,,board2_adc2_data_p[3],IN,P,board2_adc2_data_n[3],LVDS_25,,,,,,EQ_NONE,,,true,,,,
