Sample in Buffer,Sample in Window,TRIGGER,data/wr_en_fifo4,data/data_fifo4_in[3:0],data/rd_en_fifo4,data/data_fifo4_out[3:0],data/state34[3:0],data/next_state34[3:0],data/fifo34_start,data/cnt34[13:0],data/trigger,data/rd_en_ttt,data/ttt_out[63:0],data/pre_start,data/data_cnt[12:0],data/cnt_ch[3:0],data/adc_A_rd_fifo3,data/adc_A_data_cnt_fifo3[12:0],data/data_cnt_tem[12:0],data/sd_wr_start,data/event_cnt[63:0],data/full2F,data/led[3:0],data/ttt[63:0],data/ttt_cnt[4:0],data/rd_en_fifo5,data/data_length_fifo5[15:0],data/data_fifo5_out[3:0],data/rd_rst_busy,data/wr_rst_busy,data/full5,data/empty5
101,101,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89d0,1f,0,6839,d,0,0,0,1
102,102,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89d8,1f,0,6839,d,0,0,0,1
103,103,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89e0,1f,0,6839,d,0,0,0,1
104,104,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89e8,1f,0,6839,d,0,0,0,1
105,105,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89f0,1f,0,6839,d,0,0,0,1
106,106,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89f8,1f,0,6839,d,0,0,0,1
107,107,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a00,1f,0,6839,d,0,0,0,1
108,108,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a08,1f,0,6839,d,0,0,0,1
109,109,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a10,1f,0,6839,d,0,0,0,1
110,110,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a18,1f,0,6839,d,0,0,0,1
111,111,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a20,1f,0,6839,d,0,0,0,1
112,112,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a28,1f,0,6839,d,0,0,0,1
